chunk_id,doc_id,chunk_index,chunk_file,dataset_name,subset,split,department,document_type,category,region,created_at
pile_of_law_0000000_chunk_0000,pile_of_law_0000000,0,chunks/pile_of_law_0000000_chunk_0000.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0001,pile_of_law_0000000,1,chunks/pile_of_law_0000000_chunk_0001.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0002,pile_of_law_0000000,2,chunks/pile_of_law_0000000_chunk_0002.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0003,pile_of_law_0000000,3,chunks/pile_of_law_0000000_chunk_0003.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0004,pile_of_law_0000000,4,chunks/pile_of_law_0000000_chunk_0004.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0005,pile_of_law_0000000,5,chunks/pile_of_law_0000000_chunk_0005.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0006,pile_of_law_0000000,6,chunks/pile_of_law_0000000_chunk_0006.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0007,pile_of_law_0000000,7,chunks/pile_of_law_0000000_chunk_0007.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0008,pile_of_law_0000000,8,chunks/pile_of_law_0000000_chunk_0008.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0009,pile_of_law_0000000,9,chunks/pile_of_law_0000000_chunk_0009.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0010,pile_of_law_0000000,10,chunks/pile_of_law_0000000_chunk_0010.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0011,pile_of_law_0000000,11,chunks/pile_of_law_0000000_chunk_0011.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0012,pile_of_law_0000000,12,chunks/pile_of_law_0000000_chunk_0012.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0013,pile_of_law_0000000,13,chunks/pile_of_law_0000000_chunk_0013.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0014,pile_of_law_0000000,14,chunks/pile_of_law_0000000_chunk_0014.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0015,pile_of_law_0000000,15,chunks/pile_of_law_0000000_chunk_0015.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0016,pile_of_law_0000000,16,chunks/pile_of_law_0000000_chunk_0016.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0017,pile_of_law_0000000,17,chunks/pile_of_law_0000000_chunk_0017.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0018,pile_of_law_0000000,18,chunks/pile_of_law_0000000_chunk_0018.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0019,pile_of_law_0000000,19,chunks/pile_of_law_0000000_chunk_0019.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0020,pile_of_law_0000000,20,chunks/pile_of_law_0000000_chunk_0020.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0021,pile_of_law_0000000,21,chunks/pile_of_law_0000000_chunk_0021.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0022,pile_of_law_0000000,22,chunks/pile_of_law_0000000_chunk_0022.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0023,pile_of_law_0000000,23,chunks/pile_of_law_0000000_chunk_0023.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0024,pile_of_law_0000000,24,chunks/pile_of_law_0000000_chunk_0024.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0025,pile_of_law_0000000,25,chunks/pile_of_law_0000000_chunk_0025.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0026,pile_of_law_0000000,26,chunks/pile_of_law_0000000_chunk_0026.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0027,pile_of_law_0000000,27,chunks/pile_of_law_0000000_chunk_0027.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0028,pile_of_law_0000000,28,chunks/pile_of_law_0000000_chunk_0028.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0029,pile_of_law_0000000,29,chunks/pile_of_law_0000000_chunk_0029.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0030,pile_of_law_0000000,30,chunks/pile_of_law_0000000_chunk_0030.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0031,pile_of_law_0000000,31,chunks/pile_of_law_0000000_chunk_0031.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0032,pile_of_law_0000000,32,chunks/pile_of_law_0000000_chunk_0032.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0033,pile_of_law_0000000,33,chunks/pile_of_law_0000000_chunk_0033.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0034,pile_of_law_0000000,34,chunks/pile_of_law_0000000_chunk_0034.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0035,pile_of_law_0000000,35,chunks/pile_of_law_0000000_chunk_0035.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0036,pile_of_law_0000000,36,chunks/pile_of_law_0000000_chunk_0036.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0037,pile_of_law_0000000,37,chunks/pile_of_law_0000000_chunk_0037.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0038,pile_of_law_0000000,38,chunks/pile_of_law_0000000_chunk_0038.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0039,pile_of_law_0000000,39,chunks/pile_of_law_0000000_chunk_0039.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0040,pile_of_law_0000000,40,chunks/pile_of_law_0000000_chunk_0040.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0041,pile_of_law_0000000,41,chunks/pile_of_law_0000000_chunk_0041.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0042,pile_of_law_0000000,42,chunks/pile_of_law_0000000_chunk_0042.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0043,pile_of_law_0000000,43,chunks/pile_of_law_0000000_chunk_0043.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0044,pile_of_law_0000000,44,chunks/pile_of_law_0000000_chunk_0044.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0045,pile_of_law_0000000,45,chunks/pile_of_law_0000000_chunk_0045.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0046,pile_of_law_0000000,46,chunks/pile_of_law_0000000_chunk_0046.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
